Author,Title,Tags
"Acosta, Soledad",La mujer en la sociedad moderna,Historia y Novela histórica|Ensayo|Autoayuda
Aeschylus,The persians,Literatura Universal
Aeschylus,Prometheus bound,Literatura Universal
"Aguinaldo, Emilio",Reseña verídica de la Revolución Filipina,Literatura Universal
"About, Edmond",La nariz de un notario,Literatura Universal
"Abenza y Rodríguez, Aureliano",Los caminos para el éxito,Ensayo|Autoayuda
"Adler, María Raquel",Místicas,Literatura Hispanoamericana
"Acosta, José de",Historia Natural y moral de las Indias,Historia y Novela histórica
"Acuña, Manuel","Selección de poemas (Acuña, Manuel)",Literatura Hispanoamericana
"Agustini, Delmira",Poesías completas,Literatura Hispanoamericana|Poesía
"Alighieri, Dante",La Divina Comedia,Literatura Universal|Poesía|Clásico
"Allende, Isabel",La casa de los espíritus,Literatura Hispanoamericana|Novela
"Aristóteles",Ética a Nicómaco,Filosofía|Clásico
"Austen, Jane",Orgullo y prejuicio,Literatura Universal|Romance|Novela
"Azuela, Mariano",Los de abajo,Literatura Hispanoamericana|Novela|Revolución
